name,school,subject,grad_yr,zip,industry,title,country,language,connected,priority_tags
青山 さゆり,['South China Normal University'],Biology,[2020],94102,Banking,Student,France,['Spanish' 'Korean'],[112 119  20  98  31  93],"['tag_1', 'tag_12']"
傅红梅,['University of California Berkeley'],Mechanical Engineering,[2014],94103,Banking,UX Designer,United States,['Spanish' 'Cantonese'],[118  38 112  11],"['tag_18', 'tag_5', 'tag_15']"
李红霞,['University of Chicago' 'University of Chicago'],Graphic Design,[2018 2014],94108,Management Consulting,UX Designer,China,['Spanish'],[],[]
Daniel Wagner,['University of Hong Kong'],Law,[2012],94104,Computer Software,Product Manager,United States,['Chinese' 'Korean' 'Cantonese'],[104  46  17  20  12  20   7  45 103 109   6  22],"['tag_1', 'tag_7']"
Cristian Santos,['University of Michigan Ann Arbor'],Business Administration and Management,[2020],94101,Financial Services,Product Manager,China,['Korean' 'Japanese'],[107  95  74  85  21 106  88  21  91  28  12  81   1  28  84  78  51],['tag_16']
Tracy Wright,['Zhejiang University' 'South China Normal University'],Physics,[2018 2019],94105,Higher Education,Product Manager,China,['Japanese' 'Spanish'],[ 26  49  94  78 114  22  87  43  76  21  42  36],[]
Mrs. Jemma Harrison,['University of Chicago'],Biology,[2019],94110,Investment Banking/Venture,Data Scientist,India,['Japanese' 'Spanish' 'Cantonese'],[ 60  96  55   2  62 117  18  22  28  29  38 107 110  24 100 110   7],"['tag_1', 'tag_9']"
江古田 涼平,['Southwestern University of Finance and Economics'],Mathematics,[2011],94109,Investment Banking/Venture,UX Designer,UK,['Spanish' 'Japanese'],[105  57  15  71],[]
Ryan Glover-Baker,['Southwestern University of Finance and Economics'],Law,[2017],94110,Banking,Student,India,['Spanish'],[  0 107   4   2  64   3 103  98  95  63 105  97],['tag_15']
宮沢 幹,['University of California Berkeley' 'University of Chicago'],Law,[2017 2012],94110,Design,Data Scientist,UK,['Spanish'],[106  88   9],"['tag_5', 'tag_1']"
栾想,['University of Southern California'],Physics,[2019],94108,Banking,Researcher,United States,['Cantonese' 'Spanish'],[ 20  45 102  90  26  65  40 111  12   8 115  35  85 105  89  57],['tag_1']
Rosel Niemeier,['Southwestern University of Finance and Economics'],Applied Mathematics,[2016],94104,Higher Education,Product Manager,UK,['Cantonese' 'Korean'],[53 11],"['tag_12', 'tag_14', 'tag_1']"
Laura Bush,['University of Chicago'],Business Administration and Management,[2016],94105,Financial Services,Data Scientist,United States,['Spanish' 'Korean'],[ 80  77  13  33  52  19  74  15 114  94 118  69  55  82 100  57],"['tag_6', 'tag_2']"
Emmerich Heidrich,['South China Normal University'],Advertising,[2015],94101,Financial Services,Data Scientist,France,['Spanish' 'Korean'],[  3 110   3  19   9  23 117  98  25  36],"['tag_7', 'tag_13']"
David Garcia,['Zhejiang University' 'Stanford University'],Statistics,[2017 2014],94101,Design,Researcher,France,['Cantonese'],"[101  84  53 103 102  20  73  37  45   3  59  56  44  19  16 118  70   3
  92]","['tag_6', 'tag_6']"
Mark Diaz,['University of Hong Kong' 'University of California Berkeley'],Physics,[2017 2015],94103,Investment Banking/Venture,Software Engineer,UK,['Cantonese' 'Japanese'],[13  2 87],"['tag_0', 'tag_16']"
Daniel Adams,['Zhejiang University' 'Zhejiang University'],Actuarial Science,[2012 2015],94109,Banking,UX Designer,UK,['Cantonese' 'Chinese' 'Korean'],[100],"['tag_8', 'tag_12', 'tag_18']"
Magret Nette B.Sc.,['Zhejiang University' 'Southwestern University of Finance and Economics'],Economics,[2015 2014],94102,Management Consulting,Student,United States,['Spanish' 'Korean'],"[ 79  57  54 115   3 119  23  33  29  81  18  30  59  59  18  48  62 109
  82]","['tag_18', 'tag_16']"
Mr. Barry Scott,['University of Southern California' 'University of Michigan Ann Arbor'],Bioengineering,[2020 2011],94104,Financial Services,Software Engineer,India,['Chinese' 'Korean' 'Cantonese'],[ 21  23 108  75  29  57 101 116  30  99  63  18  47  44  99],[]
Kirstin Riehl,['Zhejiang University'],Actuarial Science,[2011],94102,Higher Education,Product Manager,United States,['Cantonese' 'Chinese'],[ 93  54 112  54  96  17  62 115 112  91  46  74  56 117  44  32  16],"['tag_9', 'tag_9']"
Patty Perez,['University of Chicago'],Physics,[2014],94105,Computer Software,Data Scientist,India,['Chinese' 'Cantonese'],[ 69   3  19 111  46  90  14],"['tag_3', 'tag_7', 'tag_19']"
Ethan Adams,['USF' 'USF'],Accounting,[2011 2019],94110,Accounting,Researcher,France,['Korean' 'Spanish'],[69 46],"['tag_19', 'tag_17']"
